Molecule_Name,HOMO,HOMO_LUMO_Gap,LUMO,ODI_HOMO,ODI_LUMO,ODI_Mean,ODI_Std,ESPmin,ESPmax,MolWt,TPSA,Dipole_Moment,NumHAcceptors,NumRotatableBonds,Nonpolar_Area,Polar_Area,Overall_Variance,Quadrupole_Moment,Octopole_Moment,NumHeteroatoms,NumAromaticRings,MolLogP,Volume,Density,Initial_PCE,,
1955086,-0.21653,0.150713,-0.065816,10.12,13.19,9.46,2.451152790015343,-55.44295,35.99888,392.39500000000015,67.76,6.278877,5,7,46.27,53.73,0.0005751,23.430657,303.4504,6,3,3.989200000000003,3182.87269,1.3815,24.5,,
103759934,-0.254606,0.16728,-0.087325,12,15.29,12.55,1.5979831037905246,-33.38498,25.55621,272.23500000000007,76.16,2.161396,4,4,45.32,54.68,0.00037115,37.250605,191.1571,6,2,3.1845800000000013,2001.63405,1.5241,24.5,,
3626590,-0.237978,0.206305,-0.031673,11.7,12.24,11.4475,1.755696087026453,-33.14661,23.10952,286.081,61.44,0.828256,5,1,53.08,46.92,0.00029326,23.518902,215.0432,6,2,2.3616,1747.19644,1.8348,24.5,,
103760311,-0.249672,0.161768,-0.087904,12.49,15.17,12.855,1.3729074987048473,-35.85224,26.56443,286.26200000000006,76.16,7.153669,4,4,39.13,60.87,0.0004052,23.940262,372.4366,6,2,3.493000000000002,2159.63051,1.4853,24.5,,
1705143,-0.230826,0.158231,-0.072595,7.91,7.18,7.0525,0.5560744104883806,-36.63663,20.18782,356.8050000000001,56.51,2.938961,4,4,69.21,30.79,0.00035527,24.802762,272.0774,5,3,4.991200000000004,2773.96752,1.4413,24.5,,
5272196,-0.218427,0.136213,-0.082214,9.69,10.18,9.4225,0.8034106982110704,-45.65169,52.42054,440.45500000000015,115.73,11.197129,5,8,45.08,54.92,0.00085844,52.009545,705.8501,7,4,4.9692000000000025,3394.75782,1.4539,24.5,,
1205167,-0.221435,0.15406,-0.067375,10.29,6,7.5825,2.1164519248024507,-41.83361,55.29728,414.41700000000014,106.93999999999998,1.770107,4,6,42.4,57.6,0.00068104,93.473726,745.198,7,3,4.166900000000002,3168.47716,1.4656,24.5,,
1205168,-0.221435,0.15406,-0.067375,10.29,6,7.5825,2.1164519248024507,-41.83361,55.29728,414.41700000000014,106.93999999999998,1.770107,4,6,42.4,57.6,0.00068104,93.473726,745.1979,7,3,4.166900000000002,3168.47716,1.4656,24.5,,
103757836,-0.260011,0.163411,-0.0966,16.77,14.67,19.7825,9.932545934955447,-37.02807,46.80192,282.246,72.24,6.255143,3,6,34.1,65.9,0.00038349,23.624106,294.3149,7,1,2.4063000000000008,2098.96754,1.5068,24.5,,
324421,-0.218081,0.179716,-0.038365,56.93,11.07,33.9575,23.209197934224267,-34.73553,53.81435,381.437,49.33,5.682376,2,7,52.74,47.26,0.00038375,22.074392,269.8998,5,3,3.317400000000002,3083.94448,1.386,24.5,,
103759090,-0.259504,0.151633,-0.107871,15.18,15.44,20.0975,9.555894450547264,-35.30721,47.88241,282.246,72.24,2.779542,3,6,39.27,60.73,0.00034835,7.545993,188.5615,7,1,2.4063000000000008,2098.62385,1.5071,24.5,,
1714121,-0.219832,0.151869,-0.067963,8.15,9.05,7.875,1.0070129095498233,-37.87234,21.6054,259.333,23.79,3.945919,2,0,62.35,37.65,0.00030011,23.960631,160.308,2,4,5.079380000000003,2031.69167,1.4303,24.5,,
78225439,-0.257607,0.211528,-0.04608,33.42,45.9,27.8925,13.38040988721945,-34.56562,54.75738,277.194,133.41,3.33776,7,8,56.29,43.71,0.0004447,14.940173,167.3417,9,0,-0.4287,2234.6515,1.39,24.5,,
103760298,-0.27847,0.19884,-0.07963,8.9,12.3,10.565,2.06268635521739,-35.86084,30.55493,246.201,84.75,6.829069,5,3,33.99,66.01,0.00046009,21.00113,205.5035,7,2,1.85038,1772.25323,1.5567,24.5,,
1705205,-0.221594,0.150881,-0.070714,8.56,7.36,7.6175,0.5700164471311334,-35.98078,20.19871,386.8310000000002,65.74000000000001,3.320756,5,6,64.04,35.96,0.00024484,32.54226,338.4429,6,3,4.617700000000004,2998.2144,1.4458,24.5,,
104074505,-0.274215,0.175203,-0.099012,24.43,14.62,18.6525,5.981217998869461,-33.14492,44.77501,283.234,96.03,3.903771,4,4,23.64,76.36,0.00033248,32.898878,392.7118,8,1,2.1525800000000004,2042.0274,1.5543,24.5,,
281243,-0.236429,0.279381,0.042952,43.75,13.02,26.3975,15.17665868200244,-43.33659,52.65016,154.106,109.57,2.555944,3,3,29.78,70.22,0.00070756,13.902195,150.9008,6,0,-1.2023,1201.50294,1.4373,24.5,,
58362007,-0.304459,0.148329,-0.15613,18.01,6.94,12.3125,5.37257096277006,10.65039,108.17903,499.5510000000001,37.3,6.503362,1,12,0,100,0.00062151,28.935494,894.091,4,4,6.042800000000006,4202.29373,1.3321,24.5,,
2088,-0.237034,0.242809,0.005775,48.83,8.51,20.5025,16.642441790494566,-39.89983,64.35968,249.09599999999995,161.31,1.613796,4,5,36.2,63.8,0.00084263,22.704607,242.8779,10,0,-1.2732,1675.51144,1.666,24.5,,
1249476,-0.243387,0.154975,-0.088413,9.12,10.14,10.7625,2.602963455371589,-55.93401,26.85829,342.77800000000013,56.51,5.775136,4,4,53.77,46.23,0.00066034,42.282917,533.8755,5,3,4.213900000000004,2625.88973,1.4628,24.5,,
1280582,-0.246002,0.155156,-0.090846,13.12,10.45,11.1125,1.828488104965411,-54.54026,27.17902,359.17500000000007,56.51,5.486435,4,3,51.94,48.06,0.00062392,42.156105,438.6881,5,3,3.912500000000003,2375.48065,1.6943,24.5,,
3590449,-0.245301,0.150687,-0.094614,10.37,10.16,13.73,5.01443416548667,-53.62516,29.82742,311.13100000000003,56.51,4.870536,4,3,52.6,47.4,0.00068766,32.278226,221.886,5,2,3.122300000000002,2042.27477,1.7071,24.5,,
1299717,-0.228377,0.154496,-0.073881,6.14,8.54,7.205,0.8633799858694893,-39.60005,24.93193,373.20200000000006,56.51,6.170911,4,2,46.39,53.61,0.00036302,15.168103,431.2168,5,3,4.456220000000004,2510.70765,1.6657,24.5,,
87986743,-0.214461,0.258264,0.043803,34.67,15.37,27.095,13.759057925599414,-40.61616,53.83356,181.172,60.77,1.126842,2,5,69.26,30.74,0.00063758,9.38943,142.3193,5,0,0.5058999999999998,1569.06222,1.2939,24.5,,
1988560,-0.229416,0.162088,-0.067328,8.98,9.73,10.8925,1.5869054004571284,-41.62591,68.89534,324.76000000000005,76.74000000000001,2.143622,4,6,40.19,59.81,0.00064315,49.97509,551.6767,6,2,3.640900000000002,2508.29693,1.4509,24.5,,
