ID,HOMO,HOMO_LUMO_Gap,LUMO,ODI_HOMO,ODI_LUMO,ODI_Mean,ODI_Std,ESPmin,ESPmax,MolWt,TPSA,Dipole_Moment,NumHAcceptors,NumRotatableBonds,Nonpolar_Area,Polar_Area,Overall_Variance,Quadrupole_Moment,Octopole_Moment,NumHeteroatoms,NumAromaticRings,MolLogP,Volume,Density,Initial_PCE,Enhanced_PCE
37,-0.177544,0.150793,-0.02675,6.51,8.12,8.465,1.446729069,-27.81479,16.16146,423.541,51.08,2.126106,6,7,60.07,39.93,0.00014828,25.857391,399.387,7,4,3.886,3439.97065,1.3797,23.5,24.8
38,-0.191164,0.155763,-0.035401,8.3,7.25,8.5425,1.743020008,-38.98072,55.96396,395.486,62.46,2.699392,4,7,46.5,53.5,0.00041776,39.400028,317.1456,7,3,5.1962,3096.43088,1.4312,19.23,21.22
39,-0.194313,0.16292,-0.031392,6.49,6.99,7.27,0.746424812,-39.16692,55.90417,409.447,62.46,2.707466,3,5,44.74,55.26,0.00036887,31.876387,364.0872,6,5,6.1203,3159.4957,1.4522,20.22,24.04
40,-0.302604,0.188564,-0.11404,13.51,13.21,12.9625,0.965333492,-32.0469,35.62172,184.101,66.93,4.492717,3,1,28.53,71.47,0.00038372,18.722685,92.8778,6,1,1.74468,1169.71443,1.7637,23.1,25.8
42,-0.1928,0.125056,-0.067744,3.41,6.98,4.2725,1.564662504,-40.3604,56.32206,679.866,42.23,2.94196,4,7,55.38,44.62,0.00028467,71.663742,2417.5656,5,9,12.9399,5368.03658,1.4192,16.27,19.8
43,-0.174343,0.082115,-0.092228,4.3,4.94,4.555,0.267628474,-40.06517,20.60416,1075.122,90.98,3.071546,8,16,63.66,36.34,0.00021117,97.602834,1343.4502,14,9,18.16056,8229.77176,1.4639,20.94,22.25
44,-0.18811,0.153767,-0.034342,5.02,7.64,5.6975,1.146393802,-39.01188,56.23935,467.552,62.46,2.513604,4,7,45.89,54.11,0.00034204,31.999585,528.2966,7,5,7.2094,3603.63431,1.4539,22.29,23.45
45,-0.16212,0.124782,-0.037338,3.2,3.09,3.2825,0.143069039,-22.85152,18.58976,972.986,53.26,2.330024,8,14,63.57,36.43,0.00011868,71.527359,1361.2462,14,10,15.5638,7261.59733,1.5015,19.8,20.2
46,-0.24963,0.293153,0.043523,14.52,8.34,10.64,4.72592319,-39.71284,50.87127,342.297,189.53,4.35974,11,4,40.91,59.09,0.00052498,20.606108,103.9703,11,0,-5.3972,2433.78598,1.576,17.73,20.65
47,-0.189384,0.154415,-0.034969,4.95,7.74,5.6975,1.207091028,-35.16897,60.33983,439.498,62.46,2.872745,4,5,47.97,52.03,0.00037016,23.343451,463.2793,7,5,6.4292,3293.50662,1.4953,17.5,18.65
48,-0.182192,0.088285,-0.093906,6.23,9.08,5.915,2.015917905,-41.47699,37.65691,476.532,82.79,10.436196,5,8,56.3,43.7,0.0003647,53.472853,1317.6846,6,4,6.83218,3866.95786,1.3809,21.29,22.53
49,-0.184238,0.157641,-0.026597,5.12,5.75,5.2675,0.278691137,-39.29156,63.20072,603.675,126.69,7.362677,6,12,41.13,58.87,0.00057074,51.566515,1378.0661,9,7,7.6047,4727.39103,1.4309,17.5,21.2
50,-0.171932,0.122131,-0.049801,5.12,4.16,5.1075,0.586744195,-23.86507,19.68852,927.389,6.48,3.053066,8,12,57.89,42.11,0.00012618,66.798103,2362.6947,8,8,17.5093,7453.45503,1.3942,24.7,26.1
51,-0.189786,0.093753,-0.096033,11.06,10.81,10.4625,0.618319295,-35.39632,62.0039,406.403,84.56,1.711065,4,3,49.98,50.02,0.00046538,24.749404,497.6972,7,3,5.66318,3032.09106,1.5019,22.46,25.35
52,-0.170104,0.146178,-0.023925,5.49,4.39,4.7125,0.451241343,-39.19685,47.77689,514.625,50.8,3.949328,4,8,55.02,44.98,0.00025256,49.351523,738.6011,5,5,8.466,4303.3396,1.3401,19.64,21.56
53,-0.182352,0.141155,-0.041197,6.08,5.35,5.47,0.381641193,-39.51608,55.59301,463.47,80.92,3.00325,4,7,39.41,60.59,0.0003486,42.032514,615.0432,7,5,6.076,3651.21085,1.4224,21.6,25.6
56,-0.135157,0.010603,-0.124554,4.16,3.52,4.355,0.675925292,-29.84286,26.85649,1927.785,16.2,8.732954,15,30,57.37,42.63,0.00020154,91.360712,1643.7661,15,21,38.669,15428.79134,1.4001,17.26,21.7
57,-0.175642,0.155282,-0.02036,5.09,6.11,5.3825,0.4212704,-41.54924,58.0552,753.666,187.38,2.585631,6,15,48.48,51.52,0.0005466,26.839712,1015.8582,15,7,7.884,5669.02105,1.4897,19.4,23
58,-0.186698,0.112691,-0.074007,4.91,4.76,4.8125,0.48427136,-42.78892,22.05225,682.86,52.6,9.744053,4,4,64.62,35.38,0.00040369,72.722805,1037.1268,4,8,12.3926,5687.43479,1.3454,20.57,22.03
59,-0.190854,0.086742,-0.104112,7.53,11.75,7.405,2.687280224,-46.63614,50.31671,459.467,86.55,6.142455,5,5,60.18,39.82,0.00047014,27.079245,713.5813,8,5,5.6311,3424.33181,1.5035,21.25,23.24
60,-0.161912,0.112663,-0.049249,2.79,4.51,3.475,0.632830941,-22.9726,18.21913,803.043,43.4,3.243003,9,12,57.39,42.61,0.00012373,75.682194,1578.6482,9,9,14.4855,6317.78806,1.4243,17.74,19.23
61,-0.174222,0.117125,-0.057098,2.99,4.15,3.35,0.482493523,-25.96843,21.1554,907.258,24.94,3.928873,10,14,60.82,39.18,0.00013448,62.199492,2738.8431,12,8,16.4194,6940.43829,1.4648,19.22,21.01
62,-0.21103,0.166404,-0.044626,8.62,9.03,8.095,0.745268408,-58.07178,39.2399,319.336,74.57,7.552958,5,3,35.2,64.8,0.00066546,16.312311,229.0928,7,2,1.2683,2442.64661,1.465,18.08,19.46
63,-0.169747,0.098085,-0.071663,4.06,5.64,4.2275,0.891161461,-20.28653,17.0299,1777.245,22.68,4.399931,7,24,74.31,25.69,8.98E-05,21.226411,913.1728,7,21,36.6831,14625.64351,1.3617,18.97,19.86
65,-0.173663,0.074274,-0.09939,3.85,5.4,4.3525,0.75698002,-33.31632,18.89751,1014.235,80.78,5.578962,8,19,68.04,31.96,0.00014335,45.888048,1691.5146,9,9,16.9783,8386.44746,1.3552,22.11,24.2
67,-0.237245,0.187429,-0.049816,13.72,10.49,12.8775,1.460160522,-38.6154,48.31109,209.098,63.32,3.647253,2,1,51.32,48.68,0.00068832,17.126993,123.8938,7,1,1.5234,1194.81054,1.9611,16.89,20.51
68,0.202425,0.012646,0.215072,3.24,4.01,4.86,1.359356465,-217.8567,941.05504,790.728,9.86,307.041964,2,16,0.75,99.25,0.30358862,2231.291404,51231.4585,4,7,15.4824,6899.65516,1.2842,15.07,20.35
69,-0.200051,0.221229,0.021178,24.14,15.13,20.7225,6.28133495,-47.05411,41.44619,129.167,91.49,3.821586,1,0,54.19,45.81,0.00073926,12.030453,57.7184,5,0,-1.24383,1159.69249,1.2481,16.54,19.73
70,-0.183647,0.130041,-0.053606,3.86,9.81,8.1525,4.518729772,-42.14286,54.3079,559.618,79.15,6.661199,6,8,46.3,53.7,0.00032329,70.532284,1020.1302,7,6,7.8503,4445.19048,1.4107,18.86,20.18
71,-0.167221,0.083575,-0.083646,2.45,5.25,3.8825,1.149508047,-36.42003,19.51382,1122.513,82.47,4.958733,13,23,68.61,31.39,0.00018712,102.883034,2486.997,13,11,19.2962,9045.19394,1.3906,17.2,21.17
72,-0.117909,0.016067,-0.101841,3.68,9.89,4.9075,2.889562034,-33.41544,46.02352,1370.042,12.96,18.076988,12,24,49.16,50.84,0.000403,125.443158,1907.5705,12,12,26.3484,10759.40902,1.4268,18.5,21
73,-0.178969,0.167315,-0.011654,89.45,23.61,58.1825,31.20404571,-53.18989,44.43164,157.076,0,10.33244,0,0,9.11,90.89,0.00085082,4.690604,27.4825,2,0,1.9903,1052.23555,1.6728,19.46,22.06
74,-0.191474,0.161315,-0.03016,6.05,7.96,6.2825,1.340603875,-39.26822,55.76635,455.494,62.46,2.294559,2,7,52.83,47.17,0.00033979,30.605558,460.489,5,5,7.0864,3724.45467,1.3704,23.19,25.6
75,-0.168904,0.08431,-0.084594,5.64,5.63,5.42,0.225277607,-45.6667,20.36082,1363.7,125.57,9.667786,15,24,59.97,40.03,0.00024207,70.203824,1200.6436,15,13,22.98266,10887.9398,1.4035,18.63,24.34
76,-0.185742,0.07242,-0.113322,5.7,6.68,6.5125,2.066656418,-43.17862,37.37816,534.597,108.57,11.921468,8,8,55.68,44.32,0.00040887,51.591313,1354.2993,9,5,6.83688,4100.69205,1.4609,18.34,21.24
77,-0.212529,0.165227,-0.047302,6.94,5.46,8,3.037433127,-60.42885,14.99084,360.46,25.78,2.946284,2,2,69.33,30.67,0.00030542,17.948963,195.7167,2,5,6.73384,3055.64826,1.3219,22.7,24.6
78,-0.289102,0.186593,-0.102509,17.4,13.26,14.8275,1.910777002,-34.74993,63.10157,203.09,100.67,4.170156,3,2,41.17,58.83,0.00068037,15.075693,240.6117,7,1,0.3978,1361.12169,1.672,9.02,13.94
79,-0.178567,0.080813,-0.097754,3.77,8.29,5.3675,1.872917176,-41.27925,38.00371,862.02,104.49,14.062842,9,15,61.62,38.38,0.00028358,68.859688,2872.1589,10,8,13.71468,6908.93742,1.3981,16.83,19.18
80,-0.18133,0.115934,-0.065397,5.2,7.19,5.0325,1.36852795,-31.85059,46.17124,571.72,40.54,1.736925,2,4,73.32,26.68,0.00016768,14.015394,306.9732,3,6,10.6204,4746.58885,1.3497,18.81,20
81,-0.204307,0.121348,-0.082959,6.33,5.71,6.3,0.70445014,-44.43592,56.67141,272.303,37.3,5.570955,1,2,57.71,42.29,0.00056199,31.720238,514.9674,2,4,4.6818,2165.28923,1.4092,22.3,25.2
82,-0.183059,0.158427,-0.024633,6.83,7.86,6.705,0.957248662,-50.56157,51.95682,385.356,79.23,5.751188,4,6,55.41,44.59,0.00058146,43.546369,484.9028,7,3,3.9766,3001.78194,1.4385,22.87,23.3
83,-0.177848,0.099756,-0.078092,4.04,3.91,3.915,0.145,-12.81014,21.4175,494.778,0,0.682238,6,5,65.19,34.81,0.00010112,39.778406,135.9663,6,6,10.3906,3627.65413,1.5283,20.24,22.23
84,-0.189294,0.162338,-0.026956,8.68,7.6,8.3175,0.452679522,-39.35223,56.08964,477.089,70,4.194737,3,5,58.32,41.68,0.00041712,22.762835,382.3723,8,2,5.4133,2867.45521,1.8644,20.9,23.66
85,-0.157087,0.13033,-0.026757,3.96,4.74,4.2375,0.515479146,-36.07236,16.94821,1269.464,124.1,2.391731,13,22,52.17,47.83,0.00015632,35.955731,1109.1277,14,12,19.4329,10165.4753,1.3994,14.07,18.15
86,-0.178948,0.083206,-0.095741,3.54,6.76,4.3625,1.384275533,-44.92445,36.63715,900.231,104.9,11.519607,10,21,67.68,32.32,0.00028369,87.468707,2648.6769,11,9,15.63938,7540.14483,1.3379,9.36,20.65
87,-0.186151,0.122625,-0.063526,5.36,5.26,4.9775,0.413906692,-31.86616,45.84216,358.404,57.36,0.0001,2,0,60.53,39.47,0.00028576,24.896874,0.1487,4,7,6.052,2771.5404,1.4491,12.4,15.9
88,-0.182253,0.168607,-0.013646,8.5,5.37,6.9925,1.118981121,-40.37845,53.52689,353.358,60.77,1.117859,2,6,68.54,31.46,0.00038977,13.998939,412.2839,5,3,4.8766,2867.16591,1.381,21.6,24.5
89,-0.176408,0.104304,-0.072104,3.44,5.81,4.3525,1.000409291,-49.89769,26.35621,1450.112,59.08,12.726888,10,35,76.29,23.71,0.00025483,144.817551,3926.8211,10,12,29.22244,12545.87968,1.2952,10.93,13.19
90,-0.171574,0.14328,-0.028294,4.08,5.25,4.1125,0.924564086,-15.90312,11.71683,516.688,6.48,0.270003,2,7,79.62,20.38,7.17E-05,15.34697,163.0931,2,6,10.91004,4489.65128,1.2896,14.82,19.77
91,-0.200035,0.116872,-0.083162,7,9.24,6.7825,1.555287353,-41.96063,48.16205,340.382,64.33,6.278105,3,5,55.79,44.21,0.00046891,15.142241,431.5,4,3,5.14798,2781.14877,1.3714,19.97,20.94
93,-0.174455,0.151382,-0.023073,7.57,6.72,6.9725,0.388997108,-39.32937,54.91453,478.422,124.92,0.00092,4,10,45.22,54.78,0.00049754,36.788365,0.2708,10,4,4.665,3727.54241,1.4382,20.6,22.8
94,-0.270988,0.238939,-0.032049,22.63,15.71,19.7775,2.540446565,-41.98675,62.56599,112.088,65.98,5.97126,2,1,33.19,66.81,0.00119911,9.591738,96.9256,4,1,0.1079,827.71691,1.5175,21.28,23.77
95,-0.174211,0.081462,-0.092749,3.1,7.73,4.8875,1.774843303,-35.50731,15.23962,670.841,32.26,1.909582,5,6,65.12,34.88,0.00015221,53.101236,242.426,5,8,11.4305,5595.67827,1.3434,18.34,21.84
96,-0.247665,0.189472,-0.058194,19.89,20.05,19.9425,0.224652509,-30.04209,37.68277,245.946,24.06,2.240401,2,5,42.89,57.11,0.00028432,14.336804,101.9539,4,0,1.5656,1369.49413,2.0124,18.71,21.26
97,-0.180597,0.161346,-0.019251,9.3,6.59,8.29,1.540665441,-38.91326,43.51189,551.566,21.26,2.347061,2,6,66.53,33.47,0.00021455,10.43815,378.0293,4,6,7.0523,4476.77875,1.3806,19.38,21.9
98,-0.236727,0.309811,0.073084,43.37,22.44,30.655,12.14642437,-38.31469,42.06273,61.084,46.25,2.832951,2,1,39.06,60.94,0.00058866,2.28186,58.7669,2,0,-1.0626,612.06374,1.1183,14.68,19.16
100,-0.152381,0.114278,-0.038104,3.62,8.62,6.79,3.355160205,-28.05215,19.49156,1088.368,39.73,3.06771,7,17,55.55,44.45,0.00013933,45.114418,649.4127,7,14,20.041,9080.22078,1.3431,13.7,16.4
101,-0.164464,0.020441,-0.144024,28.71,14.69,19.3725,5.507051729,-78.004,58.59523,201.247,61.08,23.438641,3,4,6.87,93.13,0.0018671,19.630638,334.5485,5,1,-0.0906,1549.21437,1.4556,20,21.7
102,-0.172469,0.089938,-0.082531,3.85,5.87,4.3625,0.870441698,-37.71769,20.99454,1399.021,80.78,10.656493,12,38,77.47,22.53,0.0001817,48.026302,1638.8659,13,11,26.8124,11978.12592,1.3088,17.01,17.6
104,-0.184138,0.159449,-0.024689,7.96,7.77,6.6825,1.211453156,-41.41265,43.34044,317.197,43.7,4.584344,3,4,70,30,0.00038418,28.455086,455.7372,4,3,3.45304,2734.61524,1.2998,21.05,22.62
105,-0.266324,0.271317,0.004993,28.63,27.07,24.575,7.065835053,-44.25117,43.56175,358.563,66.76,3.220435,4,19,77.31,22.69,0.0004987,47.679203,1459.2058,4,0,5.1443,3614.55639,1.1116,14.82,17.29
106,-0.188335,0.147303,-0.041032,4.79,3.47,3.995,0.7618891,-33.20886,47.79902,695.87,73.15,2.432323,2,0,60.75,39.25,0.00029332,34.552801,866.5744,5,10,12.299,5551.21749,1.4047,16.67,17.44
107,-0.162016,0.101596,-0.06042,3.6,3.19,3.23,0.468348161,-20.05565,20.69064,1278.838,24.02,5.049393,10,15,60.51,39.49,0.00010903,103.30705,1422.0941,10,16,25.7346,10287.04576,1.393,18.12,19.05
109,-0.23752,0.308427,0.070907,44.47,7.39,17.3975,15.65648009,-37.32881,27.77151,135.157,26.02,1.896089,1,0,48.03,51.97,0.00025529,9.603305,72.2026,3,0,1.523,1095.34843,1.3827,13.86,16.55
111,-0.220384,0.205457,-0.014927,12.23,13.58,18.96,11.36516388,-50.8593,57.81375,254.246,102.28,6.531967,8,3,34.55,65.45,0.00083502,25.471677,236.1834,8,2,-2.2131,1905.58452,1.4951,18.1,18.77
112,-0.167389,0.116008,-0.051381,3.16,4.11,3.6725,0.414751432,-30.8469,22.79613,1079.118,43.4,3.70889,8,26,58.4,41.6,0.00016642,45.574921,3449.5666,10,7,19.7664,8361.60644,1.4462,18.94,21.85
113,-0.125949,0.016921,-0.109029,3.89,11.92,7.8125,3.414654997,-67.46791,25.54498,1007.247,69.18,4.809817,8,18,52.46,47.54,0.00036473,136.6869,1132.315,8,10,16.8225,8391.84491,1.345,18.1,20.8
114,-0.252835,0.230313,-0.022523,11.85,12.9,14.1,2.515263406,-39.46346,51.51103,152.149,57.53,4.243382,2,2,42.83,57.17,0.00059443,8.402552,107.8798,3,1,0.8046,1204.47885,1.4155,14.9,18.42
115,-0.166629,0.097426,-0.069204,3.57,6.43,4.55,1.18785521,-25.27578,20.28721,1459.139,16.2,3.382324,13,24,67.72,32.28,0.00012657,59.032278,3179.1768,13,13,28.3801,11815.02866,1.3839,17.69,20.3
116,-0.164723,0.112715,-0.052009,2.72,5.33,3.595,1.024707275,-23.4516,17.85745,786.972,43.4,2.428447,6,14,59.54,40.46,0.00012706,97.452082,1905.4637,6,8,14.165,6610.15635,1.3341,21.12,21.34
117,-0.259944,0.203239,-0.056705,34.02,11.97,19.825,8.417798109,-36.11878,20.68469,137.138,39.19,3.59658,3,1,50.38,49.62,0.0003842,6.352687,107.5776,3,1,0.8682,1116.42951,1.3765,16.31,18.13
118,-0.235753,0.263457,0.027704,68.91,32.95,42.46,18.37099752,-35.6314,29.05616,77.152,26.02,2.026162,2,1,40.95,59.05,0.00030439,7.445342,49.2048,2,0,-0.1251,743.76317,1.1624,19.83,22.05
119,-0.197593,0.115605,-0.081988,12.99,8.2,10.2275,1.741929605,-37.07987,17.54491,205.26,12.89,1.532057,1,1,61.19,38.81,0.00020541,14.696063,225.2142,1,1,3.8534,1774.88497,1.2959,16.89,17.84
121,-0.1546,0.126391,-0.028209,1.75,5.05,3.3775,1.62781103,-26.52899,15.84022,1317.556,96.66,2.700608,14,22,56.03,43.97,0.00013159,48.271802,2321.7362,14,15,21.8288,10668.10117,1.3839,12,17.45
122,-0.206957,0.130228,-0.07673,5.2,5.65,6.2525,0.852214028,-37.05686,47.40964,384.438,120.32,0.002667,6,0,39.47,60.53,0.00079803,88.781454,0.4124,8,3,2.4774,2669.24261,1.6139,22.19,25
123,-0.197327,0.156181,-0.041146,4.82,7.41,6.45,1.070537248,-28.85831,37.33841,354.417,116.73,1.059916,6,3,34.82,65.18,0.00042729,49.197762,706.2165,6,4,3.6192,2881.82387,1.3781,22.36,24.57
124,-0.173576,0.133075,-0.0405,3.33,3.32,3.7575,0.775318483,-16.32599,14.66136,592.786,6.48,0.045368,2,11,74.56,25.44,7.62E-05,6.890866,141.9952,2,6,12.8652,5190.07829,1.2799,19.1,21.4
125,-0.153854,0.060956,-0.092898,15.65,51.15,53.5025,23.75351698,-31.32803,42.32431,247.828,40.46,2.758746,2,1,34.83,65.17,0.00047939,8.968202,55.1192,4,1,-0.029,1154.1281,2.4062,20.04,22.91
126,-0.172967,0.108949,-0.064017,3.44,6.35,4.7125,1.112483146,-38.77024,19.49726,1115.482,42.12,4.960988,6,20,70.39,29.61,0.0001187,36.386774,556.8153,6,14,22.6138,9549.76346,1.3089,10.03,14.46
127,-0.169599,0.114941,-0.054658,2.89,4.04,3.5575,0.464670582,-29.57934,24.17133,1135.226,43.4,0.212481,8,28,57.59,42.41,0.00016379,61.764849,126.7099,10,7,21.0386,8935.7896,1.4236,19.04,20.67
128,-0.183346,0.140748,-0.042598,4.79,7.09,5.3325,1.071409702,-46.56729,48.54029,561.634,77.46,8.976954,6,10,57.13,42.87,0.00036884,52.040943,1568.5051,7,5,8.223,4541.90485,1.3857,18.9,19.8
129,-0.279687,0.086709,-0.192978,7.37,7.59,9.1375,2.150690296,-25.07941,45.19709,276.152,95.16,0.001687,4,0,36.19,63.81,0.00051283,32.105994,0.094,8,1,0.63872,1739.52608,1.7789,20.4,22.5
130,-0.282058,0.338679,0.056621,19.07,6.5,14.46,7.053477866,-26.41876,18.95258,218.247,27.69,2.815257,3,5,53.22,46.78,0.00012043,7.877333,70.9676,7,0,1.8169,1598.20147,1.5302,17.98,19.58
131,-0.15974,0.140981,-0.018759,3.48,3.04,3.8075,0.569446003,-16.60393,11.32895,789.039,12.96,0.359108,4,12,84.37,15.63,6.78E-05,8.372834,260.5011,4,9,16.49106,6770.2049,1.306,19.69,22.56
132,-0.174963,0.161245,-0.013718,6.53,4.31,5.1225,1.289832838,-20.90056,13.06363,626.888,6.48,1.757428,2,8,81.05,18.95,9.25E-05,11.260809,270.8194,2,6,13.11008,5579.87442,1.2589,17.1,20.58
133,-0.186121,0.107755,-0.078366,3.95,6.58,5.3225,0.998983859,-16.13489,20.29503,959.956,9.72,3.023383,3,10,62.96,37.04,0.00011307,83.29923,1110.8315,12,9,18.7217,7011.06986,1.5343,18.1,19.82
134,-0.17249,0.131024,-0.041466,4.12,4.1,4.105,0.162864975,-18.0359,14.04849,588.754,6.48,0.234427,2,7,71.15,28.85,8.62E-05,13.832055,219.64,2,8,12.5996,4951.22376,1.3325,15.4,18.4
136,-0.195519,0.163452,-0.032068,11.09,7.77,10.125,2.042565788,-31.00575,62.65758,511.996,60.77,4.51482,2,3,59.73,40.27,0.00048402,24.827924,188.2319,8,2,2.4958,2704.15687,2.1217,21.02,22.73
137,-0.157915,0.110448,-0.047467,2.79,3.86,3.72,0.749633244,-44.68795,19.02115,1224.562,82.92,6.137138,13,23,56.59,43.41,0.00018283,59.022788,2394.9519,13,13,21.508,9966.59651,1.3768,18.67,20.23
