ID,HOMO,HOMO_LUMO_Gap,LUMO,ODI_HOMO,ODI_LUMO,ODI_Mean,ODI_Std,ESPmin,ESPmax,MolWt,TPSA,Dipole_Moment,NumHAcceptors,NumRotatableBonds,Nonpolar_Area,Polar_Area,Overall_Variance,Quadrupole_Moment,Octopole_Moment,NumHeteroatoms,NumAromaticRings,MolLogP,Volume,Density,Initial_PCE,Enhanced_PCE
165,-0.167764,0.09266,-0.075104,3.09,9.06,5.11,2.381459636,-39.31921,18.64133,786.928,60.47,5.42365,7,12,58.44,41.56,0.00017704,70.100095,1612.5593,7,8,13.206,6420.86861,1.3733,17.02,20.24
166,-0.19799,0.177896,-0.020094,19.02,6.45,9.33,5.610458983,-26.1948,12.59885,304.373,0,1.482022,0,3,76.38,23.62,0.00010938,5.44806,131.9134,1,3,4.37006,2697.86945,1.2642,22.03,23.81
167,-0.16451,0.137427,-0.027083,4.6,5.51,4.3575,0.774479664,-23.57166,20.98356,638.789,43.4,5.577434,7,10,53.49,46.51,0.00014324,38.325342,299.2291,7,7,11.0285,5144.83727,1.3913,15.19,19.5
168,-0.261433,0.189014,-0.072419,20.21,4.64,9.875,6.079903371,-7.52671,25.72352,670.274,0,1.079822,0,3,68.08,31.92,0.000119,2.128134,157.6967,19,3,9.5576,3662.3995,2.0508,18.5,20.69
169,-0.381375,0.226525,-0.15485,18.23,10.38,15.135,2.957824369,53.61423,117.32958,150.245,0,5.920522,0,2,0,100,0.00069849,20.074564,62.1889,1,1,1.8928,1460.73032,1.1526,23.52,25.45
170,-0.224528,0.290562,0.066035,47.9,5.4,18.1625,17.45198323,-44.71962,22.10532,221.373,53.71,2.320926,4,9,78.93,21.07,0.00032091,10.180059,177.9278,5,0,1.3836,2108.49707,1.1765,18.2,20.1
171,-0.169211,0.119166,-0.050046,3.29,5.05,4.915,1.827641923,-64.06167,18.51016,786.932,69.18,3.820897,8,12,57.9,42.1,0.00024956,67.968629,2640.1249,8,9,13.091,6415.74799,1.3744,18.32,20.14
172,-0.182227,0.122978,-0.059248,3.76,3.42,3.7125,0.171664644,-43.12969,52.89433,756.902,81.08,12.287896,4,11,63.2,36.8,0.00044917,59.557686,4401.1927,6,8,13.64044,6215.7834,1.3645,18.62,19.52
173,-0.1969,0.10293,-0.09397,5.42,10.52,7.55,1.85625968,-39.31293,62.04705,490.499,86.25,3.106883,3,3,57.51,42.49,0.0004657,16.453896,699.3483,6,5,7.13218,3853.59862,1.4263,17.19,20.28
174,-0.158679,0.126428,-0.032251,2.18,3.43,3.0225,0.654727997,-42.28625,21.99347,1234.466,92.15,4.237037,12,20,53.64,46.36,0.00018171,89.894572,2264.4953,12,14,20.8025,10017.42489,1.3809,13.78,17.58
175,-0.191783,0.13201,-0.059773,6.09,5.76,5.365,0.611330516,-43.11172,25.70047,735.059,40.62,9.832275,8,10,53.16,46.84,0.00042827,41.900424,966.8847,9,6,12.327,5746.45736,1.4334,18.49,18.72
176,-0.231713,0.189193,-0.04252,14.28,12.01,15.7275,4.290159525,-51.74343,51.96944,138.126,76.21,7.864598,3,1,28.94,71.06,0.00111656,12.973471,153.131,4,1,0.362,1066.24831,1.4516,22.6,24.87
177,-0.158197,0.135426,-0.022771,2.36,3.49,3.6825,0.877421649,-45.97472,20.93432,1084.286,92.15,5.48826,12,20,55.56,44.44,0.00019241,56.978474,2102.3456,12,11,17.3429,8862.15201,1.371,13.41,16.54
178,-0.173252,0.109536,-0.063716,3.25,3.13,3.4575,0.297772984,-27.09426,21.632,943.326,46.78,0.432433,10,26,71.79,28.21,0.00012094,59.434155,646.3081,12,8,15.513,7791.8065,1.3566,12.14,16.6
179,-0.281722,0.189265,-0.092458,32.65,10.54,23.47,11.99221623,-34.20278,54.2141,319.979,37.3,4.149572,1,1,47.91,52.09,0.00053833,16.465656,240.109,7,1,2.5458,1416.07599,2.5321,19.5,22.02
180,-0.179571,0.155764,-0.023807,4.65,7.67,6.1725,1.507553896,-39.61511,59.74867,576.526,124.92,2.647292,4,9,44.98,55.02,0.00050305,54.460556,697.6306,10,6,6.705,4429.25235,1.4586,21.7,23.8
181,-0.209702,0.162838,-0.046864,7.79,8.23,8.055,0.215,-33.17953,62.54161,433.036,62.46,4.475785,2,3,52.11,47.89,0.00045713,18.054318,288.1995,7,3,4.4972,2516.84167,1.928,15.16,19.34
182,-0.238384,0.193436,-0.044948,42.89,11.15,20.64,12.95389131,-36.90643,47.31116,165.192,63.32,1.922426,2,3,56.62,43.38,0.00043786,18.022832,114.4261,3,1,0.886,1416.69784,1.3066,19.21,21.27
